"","City","State","Area","Longitude","Latitude"
"42","Colorado Springs","Colorado",503.9,-104.7,38.8673
"43","Raleigh","North Carolina",370.1,-78.64,35.8302
"44","Miami","Florida",92.9,-80.2,25.7752
"45","Oakland","California",144.8,-122.2,37.7699
"46","Minneapolis","Minnesota",139.8,-93.26,44.9633
"47","Tulsa","Oklahoma",509.6,-95.9,36.1279
"48","Cleveland","Ohio",201.2,-81.67,41.4781
"49","Wichita","Kansas",412.6,-97.34,37.6907
"50","New Orleans","Louisiana",438.8,-89.93,30.0686
"51","Arlington","Texas",248.3,-97.12,32.7007
"52","Bakersfield","California",368.2,-119,35.3212
"53","Tampa","Florida",293.7,-82.47,27.9701
"54","Aurora","Colorado",369.1,-104.8,39.7082
"55","Honolulu","Hawai'i",156.7,-157.8,21.3259
"56","Anaheim","California",129.1,-117.7,33.8555
"57","Santa Ana","California",70.6,-117.8,33.7365
"58","Corpus Christi","Texas",416,-97.17,27.7543
"59","Riverside","California",210.2,-117.3,33.9381
"60","St. Louis","Missouri",160.3,-90.24,38.6357
"61","Lexington","Kentucky",734.6,-84.45,38.0402
"62","Pittsburgh","Pennsylvania",143.4,-79.97,40.4398
"63","Stockton","California",159.7,-121.3,37.9763
"64","Anchorage","Alaska",NA,-149.8,61.2176
"65","Cincinnati","Ohio",201.9,-84.5,39.1399
"66","Saint Paul","Minnesota",134.6,-93.1,44.9489
"67","Greensboro","North Carolina",327.7,-79.82,36.0965
"68","Toledo","Ohio",209,-83.58,41.6641
"69","Newark","New Jersey",62.6,-74.17,40.7242
"70","Plano","Texas",185.4,-96.74,33.0508
"71","Henderson","Nevada",279,-115,36.0122
"72","Lincoln","Nebraska",230.8,-96.68,40.809
"73","Orlando","Florida",265.2,-81.29,28.4159
"74","Jersey City","New Jersey",38.3,-74.06,40.7114
"75","Chula Vista","California",128.5,-117,32.6277
"76","Buffalo","New York",104.6,-78.85,42.8925
"77","Fort Wayne","Indiana",286.5,-85.14,41.0882
"78","Chandler","Arizona",166.8,-111.8,33.2829
"79","St. Petersburg","Florida",159.9,-82.64,27.762
"80","Laredo","Texas",230.3,-99.48,27.5477
"81","Durham","North Carolina",278.1,-78.9,35.981
"82","Irvine","California",171.2,-117.7,33.6784
"83","Madison","Wisconsin",198.9,-89.43,43.0878
"84","Norfolk","Virginia",140.2,-76.24,36.923
"85","Lubbock","Texas",317,-101.8,33.5665
"86","Gilbert","Arizona",176,-111.7,33.3102
"87","Winston–Salem","North Carolina",343,-80.26,36.1033
"88","Glendale","Arizona",155.3,-112.1,33.5331
"89","Reno","Nevada",266.8,-119.7,39.4745
"90","Hialeah","Florida",55.6,-80.3,25.8699
